日期,指数点位,成交额(万亿元)
2024-04-11,3504.2447,0.20029348188600002
2024-04-12,3475.8389,0.208566204703
2024-04-15,3549.0759,0.267472484531
2024-04-16,3511.1146,0.25331597227200003
2024-04-17,3565.403,0.244987812753
2024-04-18,3569.8018,0.26132992726800003
2024-04-19,3541.6619,0.226229520121
2024-04-22,3530.9045,0.229511183118
2024-04-23,3506.2249,0.213257232211
2024-04-24,3521.6219,0.195299919746
2024-04-25,3530.2813,0.18452462200099998
2024-04-26,3584.2686,0.308045062251
2024-04-29,3623.9124,0.358709708838
2024-04-30,3604.3943,0.28667416175800003
2024-05-06,3657.8767,0.33327047213
2024-05-07,3659.0076,0.247368347983
2024-05-08,3630.2233,0.19992346035
2024-05-09,3664.561,0.23269492794100002
2024-05-10,3666.2771,0.23373056207499998
2024-05-13,3664.6907,0.24968846507300002
2024-05-14,3657.0454,0.21464354821399997
2024-05-15,3626.0559,0.191480969435
2024-05-16,3640.3592,0.24028895346399998
2024-05-17,3677.9696,0.247729525192
2024-05-20,3690.9623,0.27997134151999997
2024-05-21,3676.1611,0.19657535487799999
2024-05-22,3684.451,0.230839373505
2024-05-23,3641.7917,0.214205039031
2024-05-24,3601.4754,0.19534474215599998
2024-05-27,3635.7079,0.206143742536
2024-05-28,3609.1724,0.184381267979
2024-05-29,3613.5223,0.179072813278
2024-05-30,3594.3121,0.193069647051
2024-05-31,3579.9247,0.180707602932
2024-06-03,3588.7483,0.222756928174
2024-06-04,3615.6714,0.195790966234
2024-06-05,3594.7936,0.182639598875
2024-06-06,3592.2454,0.226764072639
2024-06-07,3574.1143,0.213001530098
2024-06-11,3542.8771,0.21928233721399998
2024-06-12,3544.1225,0.200722600631
2024-06-13,3526.1306,0.214792338449
2024-06-14,3541.5331,0.28376881684500005
2024-06-17,3536.1986,0.23229385189399998
2024-06-18,3545.5902,0.208824124156
2024-06-19,3528.749,0.184790298729
2024-06-20,3503.2817,0.186515776575
2024-06-21,3495.6198,0.182736735067
2024-06-24,3476.8102,0.195787549314
2024-06-25,3457.9023,0.19088633676199998
2024-06-26,3480.2648,0.17153811170199998
2024-06-27,3454.1175,0.17411250879600002
2024-06-28,3461.657,0.205118806812
2024-07-01,3478.1827,0.18801822777500002
2024-07-02,3471.7857,0.186104752422
2024-07-03,3463.4141,0.163035359363
2024-07-04,3445.8128,0.15947715357
2024-07-05,3431.0605,0.181416567403
2024-07-08,3401.7604,0.177559765828
2024-07-09,3439.8111,0.21504883782
2024-07-10,3428.9657,0.198149476849
2024-07-11,3468.169,0.237551298482
2024-07-12,3472.4014,0.205055553856
2024-07-15,3476.2467,0.17158491538
2024-07-16,3498.2827,0.200456285078
2024-07-17,3501.5836,0.222830802528
2024-07-18,3520.931,0.21578379570300002
2024-07-19,3539.0156,0.228065104129
2024-07-22,3514.9249,0.217457320404
2024-07-23,3439.8779,0.202857560169
2024-07-24,3418.1663,0.184884499787
2024-07-25,3399.2716,0.190131464835
2024-07-26,3409.2931,0.1878533295
2024-07-29,3390.742,0.16669710382300001
2024-07-30,3369.3821,0.16544282449
2024-07-31,3442.0844,0.258249147336
2024-08-01,3419.2666,0.206038002518
2024-08-02,3384.3919,0.179671192428
2024-08-05,3343.3205,0.223631266563
2024-08-06,3342.9789,0.181724693848
2024-08-07,3341.489,0.145078975326
2024-08-08,3342.9369,0.149482926227
2024-08-09,3331.6274,0.142852166559
2024-08-12,3325.8645,0.117544892727
2024-08-13,3334.3903,0.125259155343
2024-08-14,3309.2389,0.11818195200399999
2024-08-15,3341.953,0.149249335426
2024-08-16,3345.634,0.135885323083
2024-08-19,3356.9677,0.143421671337
2024-08-20,3332.7034,0.13791058509200002
2024-08-21,3321.635,0.130005992563
2024-08-22,3313.1357,0.147702791561
2024-08-23,3327.1905,0.1326808865
2024-08-26,3324.2231,0.139070603958
2024-08-27,3305.3338,0.12975596286399999
2024-08-28,3286.4956,0.135982310965
2024-08-29,3277.6812,0.17434010639300002
2024-08-30,3321.4323,0.268376041211
2024-09-02,3265.011,0.194409996348
2024-09-03,3273.4282,0.155089488535
2024-09-04,3252.1649,0.14007006307699998
2024-09-05,3257.7578,0.134618198894
2024-09-06,3231.3457,0.121541545906
